timestamp,reader,antenna,rssi,epc,phase_angle,channel_index,doppler_frequency
1746728209.151193,192.168.0.219:5084,3,-60,b'302832aa8f7309800001f49f',3572,22,-19
1746728208.990493,192.168.0.219:5084,1,-65,b'3034043d145d4636c004157e',3500,21,48
1746728209.083791,192.168.0.219:5084,2,-56,b'3034043d145d4636c004157e',1126,21,58
1746728209.171448,192.168.0.219:5084,4,-56,b'3034043d145d4636c004157e',3674,22,107
1746728209.00686,192.168.0.219:5084,1,-64,b'30340bd95c3cb3c210a04d3b',3962,21,273
1746728209.077101,192.168.0.219:5084,2,-55,b'30340bd95c3cb3c210a04d3b',240,21,166
1746728209.169124,192.168.0.219:5084,4,-52,b'30340bd95c3cb3c210a04d3b',286,22,117
1746728208.999792,192.168.0.219:5084,1,-67,b'302f482e12c0081b022453f5',4094,21,78
1746728209.150306,192.168.0.219:5084,3,-56,b'302f482e12c0081b022453f5',3894,22,39
1746728209.173964,192.168.0.219:5084,4,-54,b'302f482e12c0081b022453f5',1228,22,126
1746728209.00594,192.168.0.219:5084,1,-65,b'30340592ac54555176592e7e',4068,21,-19
1746728209.177834,192.168.0.219:5084,4,-66,b'30340592ac54555176592e7e',3410,22,244
1746728208.993247,192.168.0.219:5084,1,-64,b'303400eda43f628000009f3f',3146,21,146
1746728209.063749,192.168.0.219:5084,2,-48,b'303400eda43f628000009f3f',460,21,156
1746728209.008816,192.168.0.219:5084,1,-70,b'3034047138105841dcd6558d',3158,21,-468
1746728209.074108,192.168.0.219:5084,2,-58,b'3034047138105841dcd6558d',1708,21,58
1746728208.982194,192.168.0.219:5084,1,-55,b'303211468e03e29b022504c1',1116,21,146
1746728209.153146,192.168.0.219:5084,3,-64,b'303211468e03e29b022504c1',202,22,126
1746728209.176941,192.168.0.219:5084,4,-68,b'303211468e03e29b022504c1',3400,22,-58
1746728208.998901,192.168.0.219:5084,1,-61,b'303400edb44de500000506ca',3578,21,9
1746728209.075726,192.168.0.219:5084,2,-55,b'303400edb44de500000506ca',3606,21,58
1746728209.172565,192.168.0.219:5084,4,-51,b'303400edb44de500000506ca',54,22,78
1746728209.002714,192.168.0.219:5084,1,-63,b'300811112222014000000000',3002,21,195
1746728209.133856,192.168.0.219:5084,3,-44,b'300811112222014000000000',3608,22,39
1746728208.985167,192.168.0.219:5084,1,-61,b'30080226abcd014000000000',3218,21,-9
1746728209.085755,192.168.0.219:5084,2,-61,b'30080226abcd014000000000',3236,21,97
1746728208.992355,192.168.0.219:5084,1,-58,b'30340bd9601cb4131dae71ca',370,21,146
1746728209.139917,192.168.0.219:5084,3,-60,b'30340bd9601cb4131dae71ca',442,22,234
1746728208.997961,192.168.0.219:5084,1,-63,b'3034047138105841dcd65592',3794,21,175
1746728209.139025,192.168.0.219:5084,3,-42,b'3034047138105841dcd65592',3538,22,175
1746728209.003595,192.168.0.219:5084,1,-58,b'302c4ddcd020f3574bcb872d',3332,21,214
1746728209.087916,192.168.0.219:5084,2,-49,b'302c4ddcd020f3574bcb872d',778,21,107
1746728208.996825,192.168.0.219:5084,1,-58,b'3be300000193cdfb00001c27',436,21,-19
1746728209.185582,192.168.0.219:5084,4,-57,b'3be300000193cdfb00001c27',696,22,126
1746728208.986081,192.168.0.219:5084,1,-54,b'e2806995000040182224401d',2726,21,166
1746728209.062859,192.168.0.219:5084,2,-59,b'e2806995000040182224401d',2758,21,19
1746728209.138139,192.168.0.219:5084,3,-50,b'e2806995000040182224401d',3410,22,146
1746728209.170266,192.168.0.219:5084,4,-49,b'e2806995000040182224401d',3232,22,156
