# Quadrant and Per-File Results
# This file contains quadrant accuracies and per-file accuracies for dynamic and static data.
# - Quadrant: Q1 (x<7.5, y>=7.5), Q2 (x>=7.5, y>=7.5), Q3 (x<7.5, y<7.5), Q4 (x>=7.5, y<7.5).
# - Accuracy: Prediction accuracy for each quadrant or file (0 to 1).
# - Dataset: 'circle_dynamic' (CircleTests), 'line_dynamic' (MoveTest2), or 'static' (Test8).
# - Filename: Name of the data file (e.g., CircleTest1-1.csv, MoveTest2-1.csv, (12,3).csv) or 'All' for dataset-level.
Quadrant,Accuracy,Dataset,Filename,Total Accuracy,Q1 Accuracy,Q2 Accuracy,Q3 Accuracy,Q4 Accuracy
Q1,0.8774647887323944,,,,,,,
Q2,0.8365685660613651,,,,,,,
Q3,0.8551136363636364,,,,,,,
Q4,0.8690476190476191,,,,,,,
,,line_dynamic,movetest2-27,0.7777777777777778,,0.7272727272727273,0.8571428571428571,
,,line_dynamic,movetest2-28,0.9666666666666667,,0.9583333333333334,1.0,
,,line_dynamic,movetest2-29,0.9090909090909091,,1.0,0.8571428571428571,
,,line_dynamic,movetest2-30,1.0,,1.0,1.0,
,,line_dynamic,movetest2-31,0.9565217391304348,,1.0,0.9230769230769231,
,,line_dynamic,movetest2-32,0.9705882352941176,,1.0,0.9230769230769231,
,,static,All,0.9902541563156889,1.0,0.9610726643598616,0.9948409286328461,1.0
,,static,"(12,3).csv",1.0,,,,1.0
,,static,"(3,8).csv",1.0,1.0,,,
,,static,"(8,14).csv",1.0,,1.0,,
,,static,"(14,5).csv",1.0,,,,1.0
,,static,"(14,12).csv",1.0,,1.0,,
,,static,"(7,3).csv",1.0,,,1.0,
,,static,"(10,10).csv",1.0,,1.0,,
,,static,"(1,14).csv",1.0,1.0,,,
,,static,"(1,5).csv",1.0,,,1.0,
,,static,"(8,7).csv",1.0,,,,1.0
,,static,"(5,3).csv",0.8947368421052632,,,0.8947368421052632,
,,static,"(14,8).csv",0.24444444444444444,,0.24444444444444444,,
,,static,"(3,5).csv",1.0,,,1.0,
,,static,"(3,12).csv",1.0,1.0,,,
,,static,"(7,10).csv",1.0,1.0,,,
,,static,"(1,8).csv",1.0,1.0,,,
,,static,"(10,3).csv",1.0,,,,1.0
,,static,"(14,14).csv",0.8070175438596491,,0.8070175438596491,,
,,static,"(7,5).csv",1.0,,,1.0,
,,static,"(5,10).csv",1.0,1.0,,,
,,static,"(10,8).csv",1.0,,1.0,,
,,static,"(1,12).csv",1.0,1.0,,,
,,static,"(1,3).csv",1.0,,,1.0,
,,static,"(12,5).csv",1.0,,,,1.0
,,static,"(8,12).csv",1.0,,1.0,,
,,static,"(14,3).csv",1.0,,,,1.0
,,static,"(5,8).csv",1.0,1.0,,,
,,static,"(10,5).csv",1.0,,,,1.0
,,static,"(7,8).csv",1.0,1.0,,,
,,static,"(12,10).csv",1.0,,1.0,,
,,static,"(8,1).csv",1.0,,,,1.0
,,static,"(5,5).csv",1.0,,,1.0,
,,static,"(3,3).csv",1.0,,,1.0,
,,static,"(3,14).csv",1.0,1.0,,,
,,static,"(12,8).csv",1.0,,1.0,,
,,static,"(1,1).csv",1.0,,,1.0,
,,static,"(1,10).csv",1.0,1.0,,,
,,static,"(5,12).csv",1.0,1.0,,,
,,static,"(7,7).csv",1.0,,,1.0,
,,static,"(14,1).csv",1.0,,,,1.0
,,static,"(8,10).csv",1.0,,1.0,,
,,static,"(12,7).csv",1.0,,,,1.0
,,static,"(10,7).csv",1.0,,,,1.0
,,static,"(7,14).csv",1.0,1.0,,,
,,static,"(3,1).csv",1.0,,,1.0,
