timestamp,reader,antenna,epc,phase_angle,channel_index,doppler_frequency,rssi,,,epc,(All),,,,,
1753823919,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1632,40,371,-58,,,,,,,,,
1753823919,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',4000,40,3,-56,,,,,,,,,
1753823919,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',1220,41,-39,-58,,,,,,,,,
1753823919,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2924,41,-488,-55,,,,,,,,,
1753823919,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',1904,41,-78,-56,,,,,,,,,
1753823919,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',1300,41,371,-58,,,,,,,,,
1753823919,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',2304,41,-527,-60,,,,,,,,,
1753823919,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2740,41,-410,-55,,,,,,,,,
1753823919,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',1164,41,-6,-55,,,,,,,,,
1753823919,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2608,42,195,-59,,,,,,,,,
1753823919,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1504,42,195,-61,,,,,,,,,
1753823920,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3116,42,-488,-57,,,,,,,,,
1753823920,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2692,42,-410,-59,,,,,,,,,
1753823920,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',4072,42,-234,-66,,,,,,,,,
1753823920,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1448,42,78,-59,,,,,,,,,
1753823920,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3912,42,10,-56,,,,,,,,,
1753823920,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2096,43,273,-57,,,,,,,,,
1753823920,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',3556,43,195,-48,,,,,,,,,
1753823920,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',2052,43,761,-56,,,,,,,,,
1753823920,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2488,43,-332,-55,,,,,,,,,
1753823920,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',444,43,9,-48,,,,,,,,,
1753823920,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',576,44,117,-55,,,,,,,,,
1753823920,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',444,44,117,-55,,,,,,,,,
1753823920,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2656,44,-39,-48,,,,,,,,,
1753823920,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3984,44,195,-55,,,,,,,,,
1753823920,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',276,44,78,-55,,,,,,,,,
1753823920,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',3724,45,78,-46,,,,,,,,,
1753823920,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',1148,45,-117,-57,,,,,,,,,
1753823920,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',1824,45,-234,-60,,,,,,,,,
1753823920,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',3760,45,117,-49,,,,,,,,,
1753823920,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',784,45,0,-56,,,,,,,,,
1753823920,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',3904,46,-117,-57,,,,,,,,,
1753823920,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1548,46,-117,-49,,,,,,,,,
1753823920,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3432,46,-156,-57,,,,,,,,,
1753823920,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',4000,46,39,-56,,,,,,,,,
1753823920,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1572,47,-78,-49,,,,,,,,,
1753823921,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',1512,47,527,-56,,,,,,,,,
1753823921,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2432,47,117,-57,,,,,,,,,
1753823921,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',356,47,0,-74,,,,,,,,,
1753823921,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1676,47,-78,-48,,,,,,,,,
1753823921,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',676,47,127,-54,,,,,,,,,
1753823921,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',3548,48,234,-61,,,,,,,,,
1753823921,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1476,48,371,-48,,,,,,,,,
1753823921,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',2764,48,-39,-55,,,,,,,,,
1753823921,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',3636,48,-39,-61,,,,,,,,,
1753823921,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2696,48,7,-49,,,,,,,,,
1753823921,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',504,49,-78,-55,,,,,,,,,
1753823921,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',1136,49,605,-54,,,,,,,,,
1753823921,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',756,49,-39,-50,,,,,,,,,
1753823921,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',444,49,488,-55,,,,,,,,,
1753823921,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',1112,49,234,-54,,,,,,,,,
1753823921,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',212,49,511,-71,,,,,,,,,
1753823921,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',3408,50,195,-52,,,,,,,,,
1753823921,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3776,50,-78,-56,,,,,,,,,
1753823921,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',656,50,156,-58,,,,,,,,,
1753823921,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',28,50,156,-53,,,,,,,,,
1753823921,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3852,50,-39,-55,,,,,,,,,
1753823921,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',804,1,527,-58,,,,,,,,,
1753823921,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2632,1,0,-52,,,,,,,,,
1753823921,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',468,1,410,-53,,,,,,,,,
1753823921,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',1148,1,527,-56,,,,,,,,,
1753823922,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2748,2,0,-52,,,,,,,,,
1753823922,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',2976,2,39,-56,,,,,,,,,
1753823922,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',3648,2,273,-55,,,,,,,,,
1753823922,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2688,2,117,-52,,,,,,,,,
1753823922,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',268,2,-7,-56,,,,,,,,,
1753823922,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2600,3,39,-57,,,,,,,,,
1753823922,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1912,3,488,-50,,,,,,,,,
1753823922,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',2196,3,332,-57,,,,,,,,,
1753823922,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2496,3,-39,-57,,,,,,,,,
1753823922,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',316,3,332,-48,,,,,,,,,
1753823922,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',268,4,0,-54,,,,,,,,,
1753823922,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',620,4,117,-54,,,,,,,,,
1753823922,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',276,4,332,-48,,,,,,,,,
1753823922,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3924,4,-117,-55,,,,,,,,,
1753823922,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',924,4,9,-57,,,,,,,,,
1753823922,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1108,5,-39,-52,,,,,,,,,
1753823922,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',2684,5,-39,-58,,,,,,,,,
1753823922,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',3208,5,117,-58,,,,,,,,,
1753823922,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',184,5,-566,-65,,,,,,,,,
1753823922,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1156,5,156,-50,,,,,,,,,
1753823922,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',2736,5,-449,-58,,,,,,,,,
1753823922,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',3588,6,-117,-60,,,,,,,,,
1753823922,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',260,6,117,-65,,,,,,,,,
1753823922,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1304,6,117,-49,,,,,,,,,
1753823922,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',2896,6,-156,-57,,,,,,,,,
1753823922,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',3792,6,371,-60,,,,,,,,,
1753823922,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',172,6,839,-64,,,,,,,,,
1753823922,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1508,6,-39,-49,,,,,,,,,
1753823923,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',312,6,8,-56,,,,,,,,,
1753823923,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',924,7,195,-58,,,,,,,,,
1753823923,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',3456,7,410,-48,,,,,,,,,
1753823923,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',508,7,-156,-56,,,,,,,,,
1753823923,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',1184,7,449,-56,,,,,,,,,
1753823923,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',1532,7,839,-61,,,,,,,,,
1753823923,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',3652,7,195,-48,,,,,,,,,
1753823923,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3704,7,13,-53,,,,,,,,,
1753823923,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',148,8,410,-55,,,,,,,,,
1753823923,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2940,8,195,-46,,,,,,,,,
1753823923,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3976,8,605,-54,,,,,,,,,
1753823923,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',568,8,39,-56,,,,,,,,,
1753823923,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',724,8,78,-59,,,,,,,,,
1753823923,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',3148,8,371,-48,,,,,,,,,
1753823923,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',1604,8,6,-54,,,,,,,,,
1753823923,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',1104,9,78,-62,,,,,,,,,
1753823923,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1652,9,78,-50,,,,,,,,,
1753823923,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3592,9,449,-63,,,,,,,,,
1753823923,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',1156,9,156,-62,,,,,,,,,
1753823923,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',4016,9,800,-65,,,,,,,,,
1753823923,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1608,9,195,-49,,,,,,,,,
1753823923,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3156,9,3,-54,,,,,,,,,
1753823923,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',1808,10,371,-56,,,,,,,,,
1753823923,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',748,10,332,-45,,,,,,,,,
1753823923,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',1256,10,0,-54,,,,,,,,,
1753823923,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',1776,10,234,-55,,,,,,,,,
1753823923,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2804,10,6,-45,,,,,,,,,
1753823923,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3234,11,127,-63,,,,,,,,,
1753823923,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',144,11,722,-58,,,,,,,,,
1753823923,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',688,11,156,-47,,,,,,,,,
1753823923,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',1020,11,639,-64,,,,,,,,,
1753823923,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',0,11,527,-58,,,,,,,,,
1753823923,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',204,11,-234,-64,,,,,,,,,
1753823924,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2400,11,12,-47,,,,,,,,,
1753823924,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',2776,12,1855,-64,,,,,,,,,
1753823924,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',3460,12,156,-57,,,,,,,,,
1753823924,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',324,12,195,-48,,,,,,,,,
1753823924,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',2864,12,0,-63,,,,,,,,,
1753823924,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',3484,12,195,-57,,,,,,,,,
1753823924,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',136,12,-566,-65,,,,,,,,,
1753823924,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',932,12,3,-47,,,,,,,,,
1753823924,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',364,13,566,-55,,,,,,,,,
1753823924,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',528,13,-39,-53,,,,,,,,,
1753823924,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2908,13,78,-48,,,,,,,,,
1753823924,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',400,13,527,-55,,,,,,,,,
1753823924,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',532,13,-78,-53,,,,,,,,,
1753823924,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',1532,13,-156,-62,,,,,,,,,
1753823924,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',364,13,10,-48,,,,,,,,,
1753823924,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3196,14,78,-61,,,,,,,,,
1753823924,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',3572,14,332,-58,,,,,,,,,
1753823924,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',472,14,156,-49,,,,,,,,,
1753823924,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3200,14,0,-61,,,,,,,,,
