timestamp,reader,antenna,rssi,epc,phase_angle,channel_index,doppler_frequency
1754435810.898491,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',1768,15,566
1754435810.929721,192.168.0.219:5084,2,-61,b'303435fc8803d056d15b963f',3590,15,2303
1754435810.982395,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',700,15,-7
1754435811.007624,192.168.0.219:5084,2,-67,b'303435fc8803d056d15b963f',812,16,1599
1754435811.062582,192.168.0.219:5084,4,-62,b'303435fc8803d056d15b963f',3808,16,-767
1754435811.211977,192.168.0.219:5084,1,-65,b'303435fc8803d056d15b963f',2772,16,-1445
1754435811.117307,192.168.0.219:5084,2,-68,b'303435fc8803d056d15b963f',2868,16,2751
1754435811.183115,192.168.0.219:5084,4,-62,b'303435fc8803d056d15b963f',3672,17,-2687
1754435811.353995,192.168.0.219:5084,1,-67,b'303435fc8803d056d15b963f',2664,17,-1621
1754435811.269774,192.168.0.219:5084,2,-67,b'303435fc8803d056d15b963f',704,17,1919
1754435811.325514,192.168.0.219:5084,4,-62,b'303435fc8803d056d15b963f',3636,17,4415
1754435811.503797,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',1812,18,1054
1754435811.428946,192.168.0.219:5084,2,-71,b'303435fc8803d056d15b963f',3876,18,136
1754435811.475656,192.168.0.219:5084,4,-62,b'303435fc8803d056d15b963f',534,18,5502
1754435811.518222,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',1792,18,644
1754435811.596485,192.168.0.219:5084,2,-68,b'303435fc8803d056d15b963f',136,18,-75
1754435811.649894,192.168.0.219:5084,4,-69,b'303435fc8803d056d15b963f',3692,19,1279
1754435811.667148,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',116,19,-761
1754435811.700829,192.168.0.219:5084,2,-62,b'303435fc8803d056d15b963f',58,19,3903
1754435811.784911,192.168.0.219:5084,4,-66,b'303435fc8803d056d15b963f',168,19,-2303
1754435811.92042,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',1840,20,-2949
1754435812.017728,192.168.0.219:5084,4,-62,b'303435fc8803d056d15b963f',3044,20,895
1754435812.159909,192.168.0.219:5084,1,-67,b'303435fc8803d056d15b963f',2284,21,332
1754435812.072374,192.168.0.219:5084,2,-68,b'303435fc8803d056d15b963f',472,21,-3967
1754435812.132076,192.168.0.219:5084,4,-62,b'303435fc8803d056d15b963f',3036,21,3327
1754435812.184519,192.168.0.219:5084,1,-60,b'303435fc8803d056d15b963f',3266,21,383
1754435812.215824,192.168.0.219:5084,2,-60,b'303435fc8803d056d15b963f',4016,22,-2815
1754435812.297372,192.168.0.219:5084,4,-71,b'303435fc8803d056d15b963f',2828,22,15
1754435812.459422,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',564,22,878
1754435812.354854,192.168.0.219:5084,2,-61,b'303435fc8803d056d15b963f',3986,22,-2687
1754435812.435135,192.168.0.219:5084,4,-68,b'303435fc8803d056d15b963f',632,23,511
1754435812.473807,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',572,23,488
1754435812.528733,192.168.0.219:5084,2,-69,b'303435fc8803d056d15b963f',3284,23,12
1754435812.59591,192.168.0.219:5084,4,-67,b'303435fc8803d056d15b963f',564,23,447
1754435812.735225,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',3280,24,-2011
1754435812.646463,192.168.0.219:5084,2,-62,b'303435fc8803d056d15b963f',1336,24,639
1754435812.706945,192.168.0.219:5084,4,-63,b'303435fc8803d056d15b963f',594,24,-3647
1754435812.748742,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',3320,24,-78
1754435812.797255,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',2716,25,-191
