file,antenna,mean_rssi,std_rssi
"(1,1).csv",2,-72.74193548387096,2.81623557176933
"(1,1).csv",3,-67.34042553191489,2.3523955943627826
"(1,1).csv",4,-62.69724770642202,2.2546437147953085
"(5,12).csv",1,-67.40963855421687,2.7326805336277786
"(5,12).csv",2,-65.44295302013423,2.132067104870264
"(5,12).csv",3,-64.95597484276729,1.9170979912940984
"(5,12).csv",4,-58.823076923076925,1.2418127823005498
"(10,14).csv",1,-62.29824561403509,1.8716791219651039
"(10,14).csv",2,-70.53846153846153,2.7873339895374523
"(10,14).csv",3,-60.39473684210526,2.7381875701041967
"(10,14).csv",4,-69.34210526315789,2.539166875385041
"(8,10).csv",1,-65.5748031496063,2.375535645659632
"(8,10).csv",2,-69.32608695652173,3.0188618004221905
"(8,10).csv",3,-65.71317829457364,2.5254758167076545
