antenna_port,epc,first_seen_timestamp,mac_address,peak_rssi,reader_name,tid,timestamp
1,303435FC8803D056D15B963F,1744913141600172,00:16:25:12:77:b9,-60,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
2,303435FC8803D056D15B963F,1744913141627243,00:16:25:12:77:b9,-66,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
2,303435FC8803D056D15B963F,1744913141646191,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913141671858,00:16:25:12:77:b9,-46,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913141713911,00:16:25:12:77:b9,-47,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913141743181,00:16:25:12:77:b9,-49,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913141763622,00:16:25:12:77:b9,-50,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913141787683,00:16:25:12:77:b9,-59,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913141808590,00:16:25:12:77:b9,-60,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
2,303435FC8803D056D15B963F,1744913141834143,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
2,303435FC8803D056D15B963F,1744913141855984,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913141905990,00:16:25:12:77:b9,-53,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913141924138,00:16:25:12:77:b9,-53,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913141953452,00:16:25:12:77:b9,-52,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913141970742,00:16:25:12:77:b9,-52,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
2,303435FC8803D056D15B963F,1744913216631723,00:16:25:12:77:b9,-66,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:38
2,303435FC8803D056D15B963F,1744913216651870,00:16:25:12:77:b9,-69,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:38
3,303435FC8803D056D15B963F,1744913216678603,00:16:25:12:77:b9,-58,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:38
3,303435FC8803D056D15B963F,1744913216700855,00:16:25:12:77:b9,-56,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:38
1,303435FC8803D056D15B963F,1744913216747106,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:38
1,303435FC8803D056D15B963F,1744913216768734,00:16:25:12:77:b9,-59,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:38
2,303435FC8803D056D15B963F,1744913216803048,00:16:25:12:77:b9,-52,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:38
2,303435FC8803D056D15B963F,1744913216821692,00:16:25:12:77:b9,-51,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:38
3,303435FC8803D056D15B963F,1744913216848087,00:16:25:12:77:b9,-45,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
3,303435FC8803D056D15B963F,1744913216868849,00:16:25:12:77:b9,-46,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
4,303435FC8803D056D15B963F,1744913216896253,00:16:25:12:77:b9,-67,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
4,303435FC8803D056D15B963F,1744913216917751,00:16:25:12:77:b9,-68,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
1,303435FC8803D056D15B963F,1744913216945465,00:16:25:12:77:b9,-58,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
1,303435FC8803D056D15B963F,1744913216967261,00:16:25:12:77:b9,-59,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
2,303435FC8803D056D15B963F,1744913216998797,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
2,303435FC8803D056D15B963F,1744913217019174,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
3,303435FC8803D056D15B963F,1744913217044740,00:16:25:12:77:b9,-56,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
3,303435FC8803D056D15B963F,1744913217067031,00:16:25:12:77:b9,-55,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
4,303435FC8803D056D15B963F,1744913217095556,00:16:25:12:77:b9,-63,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
4,303435FC8803D056D15B963F,1744913217113678,00:16:25:12:77:b9,-63,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
1,303435FC8803D056D15B963F,1744913217141225,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
1,303435FC8803D056D15B963F,1744913217160061,00:16:25:12:77:b9,-62,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
4,303435FC8803D056D15B963F,1744913217234785,00:16:25:12:77:b9,-63,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
4,303435FC8803D056D15B963F,1744913217253486,00:16:25:12:77:b9,-63,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
2,303435FC8803D056D15B963F,1744913217298078,00:16:25:12:77:b9,-71,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
2,303435FC8803D056D15B963F,1744913217319530,00:16:25:12:77:b9,-70,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
4,303435FC8803D056D15B963F,1744913217365771,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
4,303435FC8803D056D15B963F,1744913217410321,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:39
